epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7701,1.26276,24.9618,0.00836,0.00068,1,0.05987,0.01456,1.3046,38.9012,0.01116,0.000654321,0.000654321,0.000654321
2,50.0238,1.12076,23.2094,0.0073,0.00056,0.81818,0.11903,0.0298,1.17243,34.7695,0.00995,0.00129483,0.00129483,0.00129483
3,66.895,0.90298,20.6598,0.00644,0.00244,0.90909,0.41953,0.1264,0.86853,29.3584,0.00789,0.00190894,0.00190894,0.00190894
4,83.6826,1.11304,17.7398,0.00755,0.02436,0.81818,0.47975,0.20304,1.12269,25.3088,0.01226,0.0018812,0.0018812,0.0018812
5,100.382,1.09836,15.6387,0.00711,0.57127,0.45455,0.4481,0.18135,1.13545,22.0148,0.01221,0.0018416,0.0018416,0.0018416
6,117.281,1.29153,13.4196,0.00873,0.67231,0.45455,0.56628,0.16979,1.24609,19.4015,0.01277,0.001802,0.001802,0.001802
7,134.235,1.21539,13.2015,0.00832,0.57711,0.63636,0.62133,0.21897,1.25499,17.0404,0.01152,0.0017624,0.0017624,0.0017624
8,151.195,1.31692,10.6379,0.00831,0.79167,0.6932,0.77563,0.31577,1.19149,14.9763,0.01033,0.0017228,0.0017228,0.0017228
9,168.137,1.06078,9.87641,0.0072,1,0.52944,0.7085,0.28663,1.22522,14.1634,0.01189,0.0016832,0.0016832,0.0016832
10,185.064,1.17232,9.08862,0.00807,0.87267,0.72727,0.78425,0.32689,1.24498,11.5752,0.01149,0.0016436,0.0016436,0.0016436
11,202.973,1.15691,7.59088,0.00815,0.95365,0.90909,0.905,0.33065,1.2592,11.1143,0.01106,0.001604,0.001604,0.001604
12,220.012,1.11693,7.09372,0.00744,0.82108,0.83558,0.836,0.3374,1.19246,9.49517,0.01071,0.0015644,0.0015644,0.0015644
13,237.136,1.13064,6.157,0.00749,0.86026,0.72727,0.83025,0.30142,1.31536,8.81372,0.01253,0.0015248,0.0015248,0.0015248
14,254.414,1.11273,6.01094,0.00752,0.97736,0.63636,0.73125,0.29295,1.14587,8.0768,0.01069,0.0014852,0.0014852,0.0014852
15,271.462,0.98548,5.18425,0.00663,0.97995,0.72727,0.8525,0.46573,1.07965,7.53846,0.00898,0.0014456,0.0014456,0.0014456
16,288.998,1.36032,4.77611,0.00831,0.94043,0.81818,0.89,0.35705,1.17706,6.44572,0.01002,0.001406,0.001406,0.001406
17,306.224,1.20982,4.53977,0.00765,0.90815,0.89966,0.89682,0.44058,1.09579,6.14248,0.00952,0.0013664,0.0013664,0.0013664
18,323.097,0.99043,3.87104,0.00617,0.76601,0.89386,0.84269,0.40588,1.31349,5.2545,0.01061,0.0013268,0.0013268,0.0013268
19,340.215,1.16074,3.64955,0.00785,0.98274,0.72727,0.85894,0.51789,1.06376,4.90502,0.00856,0.0012872,0.0012872,0.0012872
20,357.384,1.28247,3.34922,0.00812,0.75793,0.81818,0.81689,0.41667,1.17866,4.56763,0.0103,0.0012476,0.0012476,0.0012476
21,374.375,1.08521,3.28716,0.00778,0.98502,0.81818,0.87929,0.47677,1.00747,3.93285,0.00893,0.001208,0.001208,0.001208
22,391.696,1.22299,3.29485,0.0079,0.99788,0.81818,0.86794,0.44972,1.12137,4.84973,0.00998,0.0011684,0.0011684,0.0011684
23,408.584,1.23418,2.75431,0.00816,0.90864,0.63636,0.7513,0.34939,1.22675,3.59186,0.01098,0.0011288,0.0011288,0.0011288
24,425.584,1.13013,2.6634,0.00784,0.888,0.72145,0.76531,0.34061,1.33448,3.3767,0.01326,0.0010892,0.0010892,0.0010892
25,442.369,1.05091,2.40356,0.00779,0.98566,0.81818,0.88423,0.39431,1.16497,3.29336,0.01119,0.0010496,0.0010496,0.0010496
26,459.458,1.08685,2.29679,0.00755,0.96036,0.81818,0.88423,0.40899,1.36317,2.90487,0.01144,0.00101,0.00101,0.00101
27,476.655,1.17797,2.12505,0.00822,0.96002,0.81818,0.89,0.43774,1.21326,2.94243,0.01008,0.0009704,0.0009704,0.0009704
28,493.807,1.11815,2.18715,0.00724,1,0.87159,0.905,0.38668,1.17988,3.10426,0.0097,0.0009308,0.0009308,0.0009308
29,510.56,0.84954,1.75978,0.00556,0.9889,0.90909,0.905,0.40798,1.25577,2.3749,0.01102,0.0008912,0.0008912,0.0008912
30,527.202,1.06643,1.8543,0.00704,0.99479,0.90909,0.905,0.46555,1.151,2.13671,0.01103,0.0008516,0.0008516,0.0008516
31,543.97,1.01096,1.80418,0.00705,0.99383,0.90909,0.905,0.45476,1.17193,2.11725,0.01066,0.000812,0.000812,0.000812
32,560.822,1.19608,1.89895,0.00759,0.98752,0.90909,0.905,0.40417,1.25354,2.17745,0.01092,0.0007724,0.0007724,0.0007724
